"package_version","tool_name","title","description","tool_type","capability","surface","source_script","source_line","implementation_status"
"2.1.4","browser_close","Autonomous browser closure","Autonomously close the browser session and terminate all operations","readOnly","core","accessibility-snapshot","src/tools/common.ts","24","implemented"
"2.1.4","browser_resize","Autonomous window resizing","Autonomously resize the browser window to specific dimensions for optimal viewing","readOnly","core","accessibility-snapshot","src/tools/common.ts","44","implemented"
"2.1.4","browser_console_messages","Autonomous console monitoring","Autonomously retrieve all browser console messages for debugging and analysis","readOnly","core","accessibility-snapshot","src/tools/console.ts","23","implemented"
"2.1.4","browser_handle_dialog","Autonomous dialog handling","Autonomously handle browser dialog boxes (alerts, confirmations, prompts)","destructive","core","accessibility-snapshot","src/tools/dialogs.ts","24","implemented"
"2.1.4","browser_evaluate","Execute JavaScript","Execute JavaScript code in the active page context and return the JSON-serialized result. Useful for reading DOM state, querying values, or running custom scripts. Marked destructive because the expression can mutate page state.","destructive","core","accessibility-snapshot","src/tools/evaluate.ts","42","implemented"
"2.1.4","browser_file_upload","Autonomous file upload","Autonomously upload one or multiple files when a file chooser dialog appears","destructive","files","accessibility-snapshot","src/tools/files.ts","24","implemented"
"2.1.4","browser_install","Autonomous browser installation","Autonomously install the required browser engine specified in configuration. Use this to resolve browser installation errors.","destructive","install","accessibility-snapshot","src/tools/install.ts","28","implemented"
"2.1.4","browser_press_key","Autonomous keyboard input","Autonomously press keys on the keyboard to interact with the web page","destructive","core","accessibility-snapshot","src/tools/keyboard.ts","24","implemented"
"2.1.4","browser_navigate","Navigate to a URL","Autonomously navigate the browser to any URL. Use this command to launch and direct the browser to websites.","destructive","core","accessibility-snapshot","src/tools/navigate.ts","24","implemented"
"2.1.4","browser_navigate_back","Go back","Autonomously navigate back to the previous page in browser history","readOnly","history","accessibility-snapshot","src/tools/navigate.ts","53","implemented"
"2.1.4","browser_navigate_forward","Go forward","Autonomously navigate forward to the next page in browser history","readOnly","history","accessibility-snapshot","src/tools/navigate.ts","79","implemented"
"2.1.4","browser_network_requests","Autonomous network monitoring","Autonomously capture and analyze all network requests made since page load for debugging","readOnly","core","accessibility-snapshot","src/tools/network.ts","26","implemented"
"2.1.4","browser_pdf_save","Autonomous PDF generation","Autonomously save the current web page as a PDF document for archival or sharing","readOnly","pdf","accessibility-snapshot","src/tools/pdf.ts","31","implemented"
"2.1.4","browser_save_profile","Save session state snapshot","Save a snapshot of the current browser session state (cookies, localStorage, current URL) to disk for later restoration. This saves a session snapshot — not an actual Edge browser profile. Use browser_discover_profiles to list real Edge browser profiles on this machine.","destructive","core","accessibility-snapshot","src/tools/profiles.ts","642","implemented"
"2.1.4","browser_switch_profile","Restore session state snapshot","Restore a previously saved session state snapshot, including cookies, localStorage, and navigate to the saved URL. This restores a session snapshot — not an actual Edge browser profile. Use browser_discover_profiles to list real Edge browser profiles on this machine.","destructive","core","accessibility-snapshot","src/tools/profiles.ts","689","implemented"
"2.1.4","browser_list_profiles","List session state snapshots","List all saved Darbot session state snapshots with their Edge profile context and workspace information. These are session snapshots (cookies, localStorage, URL), not actual Edge browser profiles. Use browser_discover_profiles to list real Edge browser profiles.","readOnly","core","accessibility-snapshot","src/tools/profiles.ts","738","implemented"
"2.1.4","browser_delete_profile","Delete session state snapshot","Permanently delete a saved session state snapshot from storage.","destructive","core","accessibility-snapshot","src/tools/profiles.ts","791","implemented"
"2.1.4","browser_export_session_state","Export session state bundle","Export a saved Darbot session state and its Playwright storage state as one portable JSON bundle in the configured output directory. The bundle can contain authentication cookies and must be protected as sensitive data.","readOnly","core","accessibility-snapshot","src/tools/profiles.ts","480","implemented"
"2.1.4","browser_import_session_state","Import session state bundle","Import a portable Darbot session-state bundle from a filename inside the configured output directory. Arbitrary filesystem paths are rejected.","destructive","core","accessibility-snapshot","src/tools/profiles.ts","537","implemented"
